U.Summary,Summary,Sector,TiVA USum PCE,TiVA Summary PCE,TiVA Sector PCE
111,111CA,11,64009.0,75521.0,82093.0
112,111CA,11,11512.0,75521.0,82093.0
113FF,113FF,11,6572.0,6572.0,82093.0
211,211,21,0.0,0.0,173.0
212,212,21,173.0,173.0,173.0
213,213,21,0.0,0.0,173.0
2211,22,22,177661.0,265417.0,265417.0
2212NW,22,22,87756.0,265417.0,265417.0
23EH,23,23,0.0,0.0,0.0
23MR,23,23,0.0,0.0,0.0
23OC,23,23,0.0,0.0,0.0
23OR,23,23,0.0,0.0,0.0
23OT,23,23,0.0,0.0,0.0
23PC,23,23,0.0,0.0,0.0
23SF,23,23,0.0,0.0,0.0
23TH,23,23,0.0,0.0,0.0
321,321,33DG,3143.0,3143.0,498689.0
327,327,33DG,11570.0,11570.0,498689.0
3311IS,331,33DG,674.0,747.0,498689.0
3313NF,331,33DG,73.0,747.0,498689.0
332,332,33DG,16629.0,16629.0,498689.0
33311,333,33DG,760.0,8873.0,498689.0
33312,333,33DG,0.0,8873.0,498689.0
33313,333,33DG,0.0,8873.0,498689.0
3332OM,333,33DG,8113.0,8873.0,498689.0
3341,334,33DG,31966.0,72835.0,498689.0
3342,334,33DG,11332.0,72835.0,498689.0
3344,334,33DG,166.0,72835.0,498689.0
3345,334,33DG,8628.0,72835.0,498689.0
334X,334,33DG,20743.0,72835.0,498689.0
335,335,33DG,40276.0,40276.0,498689.0
336111,3361MV,33DG,20107.0,190227.0,498689.0
336112,3361MV,33DG,136403.0,190227.0,498689.0
33612,3361MV,33DG,0.0,190227.0,498689.0
3362BP,3361MV,33DG,33717.0,190227.0,498689.0
3364,3364OT,33DG,927.0,22024.0,498689.0
3365AO,3364OT,33DG,21097.0,22024.0,498689.0
337,337,33DG,46867.0,46867.0,498689.0
3391,339,33DG,19067.0,85498.0,498689.0
3399,339,33DG,66431.0,85498.0,498689.0
311,311FT,31ND,424541.0,581281.0,1237815.0
3121,311FT,31ND,100066.0,581281.0,1237815.0
3122,311FT,31ND,56674.0,581281.0,1237815.0
313TT,313TT,31ND,21048.0,21048.0,1237815.0
315AL,315AL,31ND,143157.0,143157.0,1237815.0
322,322,31ND,22678.0,22678.0,1237815.0
323,323,31ND,2802.0,2802.0,1237815.0
324,324,31ND,176321.0,176321.0,1237815.0
3251,325,31ND,1024.0,255518.0,1237815.0
3252,325,31ND,0.0,255518.0,1237815.0
3254,325,31ND,196625.0,255518.0,1237815.0
325X,325,31ND,57869.0,255518.0,1237815.0
326,326,31ND,35010.0,35010.0,1237815.0
4231,42,42,23358.0,566168.0,566168.0
4234,42,42,35422.0,566168.0,566168.0
4236,42,42,29050.0,566168.0,566168.0
4238,42,42,4474.0,566168.0,566168.0
423X,42,42,66712.0,566168.0,566168.0
4242,42,42,90503.0,566168.0,566168.0
4244,42,42,90702.0,566168.0,566168.0
4247,42,42,64665.0,566168.0,566168.0
424X,42,42,157672.0,566168.0,566168.0
425,42,42,3610.0,566168.0,566168.0
42ID,42,42,0.0,566168.0,566168.0
441,441,44RT,254196.0,254196.0,1546511.0
445,445,44RT,234329.0,234329.0,1546511.0
452,452,44RT,219688.0,219688.0,1546511.0
444,4A0,44RT,50101.0,838298.0,1546511.0
446,4A0,44RT,119329.0,838298.0,1546511.0
447,4A0,44RT,77900.0,838298.0,1546511.0
448,4A0,44RT,138795.0,838298.0,1546511.0
454,4A0,44RT,252459.0,838298.0,1546511.0
4A0X,4A0,44RT,199714.0,838298.0,1546511.0
481,481,48TW,83885.0,83885.0,266781.0
482,482,48TW,7817.0,7817.0,266781.0
483,483,48TW,23267.0,23267.0,266781.0
484,484,48TW,85348.0,85348.0,266781.0
485,485,48TW,47460.0,47460.0,266781.0
486,486,48TW,2986.0,2986.0,266781.0
48A,487OS,48TW,9311.0,15767.0,266781.0
492,487OS,48TW,6456.0,15767.0,266781.0
493,493,48TW,251.0,251.0,266781.0
5111,511,51,46628.0,94832.0,514302.0
5112,511,51,48204.0,94832.0,514302.0
512,512,51,23742.0,23742.0,514302.0
515,513,51,11653.0,349013.0,514302.0
5171,513,51,201552.0,349013.0,514302.0
5172,513,51,122323.0,349013.0,514302.0
5174OT,513,51,13485.0,349013.0,514302.0
518,514,51,31753.0,46715.0,514302.0
519,514,51,14962.0,46715.0,514302.0
521CI,521CI,52,278750.0,278750.0,764816.0
523,523,52,225226.0,225226.0,764816.0
524113,524,52,90314.0,90314.0,764816.0
,,,,,
5242,524,52,0.0,90314.0,764816.0
525,525,52,170526.0,170526.0,764816.0
HSO,HS,53,1553178.0,2017919.0,2120871.0
HST,HS,53,464741.0,2017919.0,2120871.0
ORE,ORE,53,5861.0,5861.0,2120871.0
532RL,532RL,53,97091.0,97091.0,2120871.0
5411,5411,54,104093.0,104093.0,176502.0
5415,5415,54,0.0,0.0,176502.0
5412,5412OP,54,17900.0,72409.0,176502.0
5413,5412OP,54,0.0,72409.0,176502.0
5416,5412OP,54,0.0,72409.0,176502.0
5417,5412OP,54,5303.0,72409.0,176502.0
5418,5412OP,54,766.0,72409.0,176502.0
541X,5412OP,54,48440.0,72409.0,176502.0
55,55,55,0.0,0.0,0.0
5613,561,56,1879.0,64490.0,92824.0
5617,561,56,21348.0,64490.0,92824.0
561X,561,56,41263.0,64490.0,92824.0
562,562,56,28334.0,28334.0,92824.0
61,61,61,360205.0,360205.0,360205.0
6211,621,62,491310.0,1050873.0,2556967.0
6212,621,62,129315.0,1050873.0,2556967.0
6213,621,62,94125.0,1050873.0,2556967.0
6214,621,62,160922.0,1050873.0,2556967.0
6215OH,621,62,175201.0,1050873.0,2556967.0
622,622,62,1039196.0,1039196.0,2556967.0
623,623,62,241619.0,241619.0,2556967.0
624,624,62,225279.0,225279.0,2556967.0
711AS,711AS,71,39754.0,39754.0,249966.0
713,713,71,210212.0,210212.0,249966.0
721,721,72,116187.0,116187.0,797995.0
722,722,72,681808.0,681808.0,797995.0
811,81,81,191327.0,613309.0,613309.0
812,81,81,186239.0,613309.0,613309.0
813,81,81,217059.0,613309.0,613309.0
814,81,81,18684.0,613309.0,613309.0
GFGD,GFGD,G,0.0,0.0,79423.0
GFGN,GFGN,G,0.0,0.0,79423.0
GFE,GFE,G,6914.0,6914.0,79423.0
GSLGE,GSLG,G,0.0,0.0,79423.0
GSLGH,GSLG,G,0.0,0.0,79423.0
GSLGO,GSLG,G,0.0,0.0,79423.0
GSLE,GSLE,G,72509.0,72509.0,79423.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
