Summary,purchPrice_from,purchPrice_to,growth_ratio
111CA,153164,232826,1.5201091640333237
113FF,8820,12718,1.4419501133786847
212,335,312,0.9313432835820895
22,265417,359159,1.3531876255100466
311FT,1083131,1444503,1.333636466872428
313TT,67218,98785,1.469621232407986
315AL,413130,520205,1.2591799191537774
321,6759,10398,1.5383932534398579
322,59713,69174,1.1584412104566846
323,8499,9260,1.0895399458759853
324,324184,514879,1.588230757841226
325,554973,732221,1.3193813032345718
326,72247,103735,1.4358381662906419
327,21298,27201,1.2771621748520987
331,1416,1991,1.4060734463276836
332,44258,69837,1.5779520086763974
333,28857,52788,1.8292961846345774
334,152824,216029,1.4135803276972203
335,83751,128504,1.5343577987128512
3361MV,350152,475339,1.3575218762137586
3364OT,37020,56786,1.5339276066990817
337,110214,160243,1.4539259985119857
339,245077,383354,1.5642185925239822
481,129784,198407,1.5287477655180917
482,1458,1222,0.8381344307270233
483,22027,22381,1.0160711853634177
484,11700,15413,1.3173504273504273
485,47460,58087,1.2239148756847873
487OS,17855,26653,1.4927471296555586
493,251,260,1.0358565737051793
4A0,5974,12858,2.1523267492467357
511,149041,225501,1.513013197710697
512,29446,29625,1.00607892413231
513,349014,388896,1.114270487716825
514,46716,125785,2.6925464508947683
521CI,278750,355196,1.274245739910314
523,225226,285447,1.2673803202116984
524,398566,473295,1.1874946683861645
525,170526,214938,1.2604412230393018
532RL,97092,102126,1.0518477320479545
5411,104093,126907,1.2191693965972736
5412OP,72409,101112,1.396400999875706
561,64488,84018,1.302847041310011
562,28334,37074,1.3084633302745818
61,360205,432813,1.20157410363543
621,1050872,1334279,1.2696874595573961
622,1039196,1345484,1.2947355455563725
623,241619,281737,1.1660382668581528
624,225279,306360,1.3599137070033158
711AS,86974,94935,1.0915331018465289
713,210211,261160,1.2423707608069987
721,163294,185415,1.1354673166191043
722,731850,1026158,1.4021425155428024
81,613310,798663,1.302217475664835
GFE,6914,6622,0.9577668498698293
GSLE,72509,84761,1.1689721275979534
HS,2020853,2676404,1.3243932141526376
ORE,5861,7485,1.2770858215321617
Other,-90776,-23977,0.2641336917246849
Used,209783,307102,1.4639031761391532
