code,usum_2017_total,usum_2023_total,share_change
713,210211.0,280291.00000000006,3.122502256758253e-16
623,241619.0,311447.99999999994,2.8449465006019636e-16
315AL,143632.0,180204.91467576797,2.1372335325120506e-16
512,23742.0,24810.33355973647,1.8084492237058214e-16
112,11511.0,18336.7785967982,1.700029006457271e-16
481,129784.0,235877.0,1.6832238727837456e-16
5174OT,13486.0,15074.617986671023,1.6658766380239776e-16
622,1039196.0,1431192.0000000002,1.6653345369377348e-16
336111,20107.0,28529.783665379608,1.6653345369377348e-16
521CI,278750.0,400516.0,1.6653345369377348e-16
311,427616.0,589562.9793256773,1.6609977282477928e-16
335,40277.0,67615.97978531598,1.6588293239028218e-16
3121,100066.0,137963.05350876303,1.5612511283791264e-16
6215OH,175201.0,242800.47840269795,1.5265566588595902e-16
325X,57870.0,83248.84583574337,1.5102936262723077e-16
813,217059.0,306455.9087492459,1.3530843112619095e-16
S003 ,110221.0,40344.50919846655,1.2836953722228372e-16
S004 ,81324.0,118452.30603051724,1.265738273741046e-16
483,22027.0,28176.999999999996,1.2490686653390815e-16
324,176319.0,256946.7726106162,1.1839487723541708e-16
3342,11332.0,16875.87386797885,1.1796119636642288e-16
113FF,6572.0,9512.262131519274,1.1449174941446927e-16
5241X,308252.0,384241.1304225649,1.1449174941446927e-16
722,731850.0,1132608.0,1.1275702593849246e-16
482,1458.0,1460.0,1.1275702593849246e-16
518,31753.0,96137.85583097867,1.1102230246251565e-16
3344,167.0,248.70022378683973,1.1102230246251565e-16
HST,467675.0,672972.6456971387,1.1102230246251565e-16
HSO,1553178.0,2234984.3543028613,1.1102230246251565e-16
624,225279.0,337001.0,9.020562075079397e-17
561X,41261.0,60991.26697990323,8.326672684688674e-17
326,35009.0,54663.79603305327,7.32920668600201e-17
3391,19068.0,29224.627459941163,7.112366251504909e-17
532RL,97092.0,105494.0,6.429318882839041e-17
322,22679.0,27982.14800797146,6.331740687315346e-17
6214,160921.0,223010.68935131968,6.245004513516506e-17
3362BP,33716.0,47839.56761634947,5.898059818321144e-17
485,47460.0,69538.0,5.898059818321144e-17
711AS,86974.0,113576.0,5.594483210025203e-17
515,11653.0,13025.695046617042,5.551115123125783e-17
3251,1024.0,1473.0744450630932,5.551115123125783e-17
5111,46627.0,75663.87579256714,5.551115123125783e-17
525,170526.0,240778.0,5.551115123125783e-17
519,14963.0,45303.14416902132,5.551115123125783e-17
61,360205.0,459418.0,3.6917083973131426e-17
721,163294.0,205827.0,3.474867962816042e-17
812,186239.0,262942.52709885704,3.469446951953614e-17
3311IS,676.0,1460.3700564971753,3.469446951953614e-17
332,16629.0,31635.979280582043,3.0357660829594124e-17
321,3143.0,4430.611628939192,2.7755575615628914e-17
541X,48440.0,76446.07880235882,2.7755575615628914e-17
48A,11399.0,16120.120414449733,2.7755575615628914e-17
3399,66900.0,102534.48589626934,2.2551405187698492e-17
327,11572.0,16085.503803174008,1.734723475976807e-17
323,2803.0,3955.0036474879403,1.5612511283791264e-17
3332OM,8111.0,14911.063173580067,1.4094628242311558e-17
313TT,21049.0,32725.87466154899,1.2576745200831851e-17
111,64011.0,101968.16390927372,1.0842021724855044e-17
337,46867.0,63001.317908795616,6.938893903907228e-18
811,191328.0,270127.4589359378,5.204170427930421e-18
3341,32299.0,48100.410347851124,3.469446951953614e-18
3122,56674.0,78137.61012287527,0.0
2211,177661.0,238140.85620363426,0.0
212,173.0,176.61492537313435,0.0
3254,196765.0,283056.1456863667,0.0
336112,136403.0,193541.9546082844,0.0
334X,20743.0,30890.95055096058,0.0
3345,8628.0,12849.015154687744,0.0
33311,760.0,1397.1653325016462,0.0
3313NF,73.0,157.7026836158192,0.0
2212NW,87756.0,117630.14379636571,0.0
5171,201552.0,225294.33519572282,0.0
524113,90314.0,112577.86957743509,0.0
454,5974.0,14436.999999999998,0.0
484,11700.0,14002.0,0.0
3364,927.0,1505.1855753646678,0.0
3365AO,21097.0,34255.55564559697,0.0
492,6456.0,9129.879585550267,0.0
5112,48204.0,78222.94955079474,0.0
5172,122323.0,136732.35177098913,0.0
493,251.0,229.0,0.0
5412,17900.0,28249.067104917896,0.0
5411,104093.0,131102.0,0.0
523,225226.0,297968.0,0.0
5417,5303.0,8368.983399853609,0.0
5613,1879.0,2777.5039542240415,0.0
5418,766.0,1208.8706928696708,0.0
5617,21348.0,31556.22906587272,0.0
562,28334.0,40521.0,0.0
6212,129315.0,179209.84392009684,0.0
6211,491310.0,680876.838853828,0.0
6213,94125.0,130442.14947205748,0.0
814,18684.0,26379.105215959302,0.0
GFE,6914.0,6621.0,0.0
GSLE,72509.0,92239.0,0.0
ORE,5861.0,7416.000000000001,0.0
S009 ,-200997.0,-73571.50919846655,0.0
