U.Summary Code,Total Commodity Output
111,261282
112,285505
113FF,76995
211,404949
212,113214
213,131832
2211,585873
2212NW,233516
23EH,209051
23MR,373168
23OC,259950
23OR,523232
23OT,346021
23PC,158345
23SF,401081
23TH,198054
321,164293
327,156572
3311IS,178354
3313NF,138392
332,411755
33311,37338
33312,46056
33313,20202
3332OM,330450
3341,23875
3342,38559
3344,110298
3345,162018
334X,7482
335,162540
336111,28876
336112,358352
33612,37810
3362BP,323547
3364,306535
3365AO,85400
337,79198
3391,99266
3399,72870
311,961925
3121,139204
3122,90559
313TT,47176
315AL,27062
322,201004
323,73723
324,765775
3251,273677
3252,132669
3254,305076
325X,235143
326,291236
4231,207971
4234,260440
4236,318386
4238,252995
423X,413384
4242,282358
4244,246028
4247,214422
424X,461811
425,47189
42ID,81633
441,469496
445,326256
452,300339
444,200970
446,163396
447,129887
448,170177
454,599703
4A0X,289505
481,305952
482,90444
483,68876
484,489306
485,159648
486,75077
48A,219660
492,171754
493,188017
5111,77746
5112,416205
512,200157
515,115042
5171,368800
5172,274217
5174OT,36541
518,465013
519,136020
521CI,1321989
523,813879
524113,116049
5241X,706889
5242,555784
525,246519
HSO,2231294
HST,676664
ORE,2016867
532RL,738001
5411,447047
5415,785347
5412,251779
5413,476939
5416,400243
5417,1060295
5418,627279
541X,291954
55,759210
5613,493112
5617,319861
561X,449190
562,190647
61,496429
6211,653245
6212,172707
6213,154429
6214,244883
6215OH,284840
622,1432695
623,318089
624,337000
711AS,262771
713,310545
721,310625
722,1470457
811,533634
812,316376
813,343597
814,25456
GFGD,783196
GFGN,542433
GFE,80514
GSLGE,1151888
GSLGH,95057
GSLGO,1156830
GSLE,136639
Used,14461
Other,1
