Year,Commodities,SIC,NAICS,NAICSX
1989,14402.0,443.0,459.0,348.0
1990,15214.0,446.0,458.0,343.0
1991,15414.0,446.0,458.0,343.0
1992,15430.0,448.0,458.0,343.0
1993,15502.0,447.0,458.0,343.0
1994,15980.0,447.0,457.0,343.0
1995,16630.0,447.0,457.0,343.0
1996,16882.0,447.0,457.0,349.0
1997,17345.0,447.0,457.0,349.0
1998,17099.0,447.0,457.0,349.0
1999,17179.0,450.0,456.0,348.0
2000,17215.0,450.0,456.0,348.0
2001,17183.0,450.0,455.0,348.0
2002,17646.0,454.0,455.0,348.0
2003,17688.0,454.0,456.0,349.0
2004,17728.0,454.0,456.0,349.0
2005,17757.0,454.0,456.0,349.0
2006,17864.0,454.0,456.0,349.0
2007,17665.0,449.0,455.0,348.0
2008,17728.0,449.0,455.0,348.0
2009,17745.0,449.0,456.0,353.0
2010,17746.0,449.0,456.0,353.0
2011,17909.0,449.0,456.0,353.0
2012,18217.0,446.0,456.0,353.0
2013,18264.0,446.0,381.0,317.0
2014,18327.0,446.0,407.0,354.0
2015,18342.0,446.0,407.0,354.0
2016,19193.0,445.0,407.0,407.0
2017,19060.0,442.0,407.0,347.0
2018,19246.0,442.0,402.0,349.0
2019,19171.0,442.0,402.0,349.0
2020,19218.0,442.0,402.0,349.0
2021,19273.0,442.0,403.0,350.0
2022,19758.0,442.0,404.0,311.0
2023,19879.0,442.0,382.0,331.0
Average,17625.685714285715,447.22857142857146,438.85714285714283,347.62857142857143
All Years,33520.0,474.0,579.0,588.0
